Gene_A	Gene_B	correlation
AT1G13600	AT2G04038	0.631711747651488
AT1G09030	AT5G27910	0.631406993403143
AT3G02150	AT5G17300	0.631158750003981
AT2G22540	AT2G45660	0.627896952623285
AT1G32640	AT5G60890	0.627589179715661
AT1G69120	AT2G03710	0.627221346775061
AT2G37060	AT5G38140	0.626590069884148
AT4G34990	AT5G41090	0.625260591277793
AT1G01010	AT5G65210	0.625238463906474
AT4G17490	AT4G32980	0.624934735460435
AT2G27110	AT3G27650	0.624615195506639
AT1G14350	AT3G24140	0.624163964256656
AT3G02150	AT3G15210	0.623462728146715
AT1G56170	AT4G24470	0.622980490575346
AT3G13540	AT3G15030	0.622953817426779
AT2G01930	AT3G15030	0.622836607325616
AT1G46264	AT5G45710	0.622754360062208
AT1G19850	AT4G23980	0.620926930854998
AT1G13600	AT5G49450	0.619499863789717
AT3G29035	AT5G50820	0.619164792798222
AT2G45650	AT5G15800	0.613517611065946
AT1G43160	AT2G04890	0.613490501268628
AT1G59750	AT5G60450	0.612501179192596
AT1G02340	AT5G24590	0.611730694060047
AT2G43010	AT3G59060	0.611719981808224
AT2G17770	AT4G35900	0.610582042758225
AT3G01140	AT5G61420	0.61054652981633
AT3G15030	AT3G50700	0.610418244399315
AT5G15800	AT5G23260	0.608316330868251
AT3G61910	AT4G33450	0.607934728430887
AT4G34610	AT5G66300	0.60631292142833
AT2G28610	AT3G61910	0.606305325063479
AT3G15030	AT3G15210	0.605894417347614
AT4G01550	AT5G41090	0.604924987840002
AT4G00480	AT4G38620	0.604017630802372
AT1G08970	AT1G51600	0.603664720477958
AT3G27650	AT3G61910	0.603615882677671
AT1G67710	AT5G03790	0.603149374616083
AT5G07690	AT5G46830	0.601683828343438
AT3G50870	AT5G18560	0.600534405852789
AT2G23760	AT5G41410	0.600143470733665
AT3G15030	AT5G66350	0.59966670667194
AT1G22070	AT3G15030	0.59907586163188
AT3G61830	AT5G62000	0.596751939791621
AT1G28300	AT5G47670	0.595792029784751
AT1G67970	AT4G18880	0.595380146455158
AT3G02150	AT3G47620	0.595026669276488
AT1G13600	AT3G62420	0.594766335944711
AT2G28160	AT3G56980	0.593227592507043
AT1G02340	AT1G65910	0.593214387188216
AT2G31180	AT5G41090	0.592324904579407
AT1G67970	AT3G02990	0.591741644295611
AT2G14210	AT2G45660	0.591718609280615
AT1G14687	AT5G39760	0.588244754177741
AT2G45660	AT3G58780	0.587898339752974
AT1G48000	AT5G15850	0.587436250483747
AT3G02150	AT4G16780	0.587027518239396
AT4G17785	AT4G22700	0.586828864694393
AT1G69120	AT5G13790	0.586273060066003
AT1G75410	AT2G35940	0.585929472792013
AT3G47620	AT4G36260	0.585646891977508
AT2G31070	AT3G24520	0.585121836285997
AT1G20700	AT3G15030	0.584179962346271
AT2G45660	AT3G02310	0.583269378086378
AT3G56980	AT5G11260	0.582427548848723
AT3G16870	AT4G17980	0.582349839857703
AT1G52890	AT2G36270	0.581753265014649
AT3G15030	AT4G01500	0.580616803961246
AT1G56010	AT5G13180	0.580084785479753
AT3G15030	AT5G24590	0.578665668222699
AT1G75540	AT3G17609	0.577301769708635
AT1G09030	AT5G38140	0.576873680605953
AT2G04038	AT4G34680	0.574480597666414
AT3G15030	AT4G37740	0.574077467041567
AT4G23980	AT5G60450	0.573741726089281
AT1G14920	AT3G16770	0.572680692810596
AT1G05230	AT1G35515	0.571135631969581
AT4G18390	AT5G12330	0.570697472777527
AT3G60390	AT4G17460	0.57066265912421
AT1G07980	AT4G14540	0.568586961421232
AT2G22630	AT2G45660	0.568037542950883
AT1G21970	AT1G28360	0.567948468290112
AT4G35550	AT4G36620	0.566707493974401
AT1G06040	AT2G01570	0.566087976221413
AT3G54620	AT3G62420	0.563268070182339
AT4G35550	AT5G06960	0.562330733245388
AT2G28160	AT5G04150	0.560961808243365
AT3G57230	AT3G58780	0.560850068767874
AT2G22800	AT4G37790	0.557431953859688
AT1G46264	AT3G51910	0.556582733251365
AT1G54830	AT5G06510	0.555831155154879
AT1G22070	AT3G02150	0.555023660132801
AT2G45660	AT5G13790	0.554998845243486
AT1G24260	AT4G18960	0.554039189362334
AT4G36900	AT5G24590	0.554033435629357
AT3G02150	AT4G36260	0.553723998490056
AT2G20570	AT5G60970	0.552799166856438
AT5G02470	AT5G22220	0.552367647002134
AT3G62420	AT5G24800	0.549373851309337
AT1G56650	AT4G09820	0.548855718867077
AT1G28470	AT1G79180	0.548489659199049
AT1G53170	AT4G13640	0.548353970934537
AT2G13570	AT5G38140	0.548228250890897
AT1G27730	AT5G59820	0.54787670043435
AT1G27730	AT5G47230	0.547465066265962
AT2G31070	AT3G15210	0.547072352086013
AT2G31070	AT3G47620	0.546725892643041
AT5G25160	AT5G42630	0.546185372476527
AT2G01760	AT2G37630	0.544879962236045
AT3G28920	AT5G42780	0.542565250297267
AT2G22630	AT3G57230	0.542299176268852
AT1G52890	AT3G27010	0.541913146763652
AT2G42830	AT5G15800	0.541418880274022
AT1G32330	AT5G62020	0.540375629857244
AT3G23130	AT3G61910	0.540218349242634
AT1G30500	AT2G37060	0.540117718796416
AT1G32640	AT3G03450	0.539667167009967
AT1G75390	AT4G02640	0.536219621185581
AT1G75410	AT4G32040	0.535451458884153
AT4G37790	AT5G41090	0.535204610953249
AT1G30970	AT3G15030	0.534283948554627
AT1G30490	AT4G16780	0.533792700502793
AT4G35550	AT5G35900	0.533397532292904
AT1G56170	AT2G38880	0.533198239565536
AT1G30490	AT2G02070	0.532291725108314
AT4G22950	AT4G37940	0.531237211091626
AT1G30490	AT3G47620	0.531236946043511
AT3G61910	AT5G15160	0.531119223907434
AT2G40470	AT4G37740	0.531108648134399
AT3G49850	AT5G65210	0.529127676205284
AT2G18550	AT5G56110	0.528417227134649
AT1G23420	AT5G08130	0.528410728417774
AT2G38880	AT5G15840	0.528229093649953
AT1G79840	AT5G40330	0.528099533165297
AT1G30490	AT2G44910	0.528091421098691
AT1G12860	AT3G24140	0.525429472464291
AT2G20570	AT2G41940	0.524252500830227
AT1G54330	AT5G08130	0.523494894643297
AT3G44350	AT5G41090	0.523002862470519
AT3G44350	AT5G15840	0.521851324797822
AT2G31070	AT4G34590	0.52117965003679
AT1G75520	AT3G15030	0.520607242873285
AT1G23420	AT2G33860	0.520474039473992
AT1G05230	AT3G01140	0.51878236547526
AT1G35515	AT5G27910	0.518284451534955
AT1G23380	AT2G27220	0.516517233218569
AT1G07980	AT5G27910	0.516105782017295
AT4G13980	AT5G17800	0.514158491294958
AT1G70510	AT4G36870	0.51403319548566
AT2G34720	AT3G10800	0.513827966655769
AT2G03710	AT2G45660	0.513260097875039
AT2G45650	AT5G62165	0.513025770816647
AT1G17590	AT4G35550	0.512564222069418
AT1G20700	AT4G37740	0.512340948509742
AT1G24260	AT5G23260	0.511598547086164
AT1G58100	AT5G60970	0.511236913791659
AT1G51600	AT3G21175	0.510862126110581
AT4G35550	AT5G28770	0.510775742886429
AT2G38880	AT5G09330	0.510002554727097
AT3G29035	AT5G13180	0.508686894289727
AT3G04100	AT5G37260	0.508097505094347
AT1G28470	AT1G63910	0.507249525452538
AT1G54160	AT1G54830	0.506951066162195
AT1G80840	AT4G01720	0.506932201589677
AT2G30130	AT2G40470	0.506868640450429
AT1G17950	AT3G61910	0.505657275285925
AT1G75410	AT5G41410	0.504898066121577
AT2G40950	AT3G10800	0.504845473636771
AT1G77450	AT5G35550	0.503985273762563
AT3G02150	AT3G15030	0.503426229256644
AT1G23420	AT5G62000	0.502996630207227
AT3G15030	AT5G62430	0.502510162156165
AT1G75520	AT3G47620	0.502488955981223
AT2G23760	AT2G27220	0.502467123452325
AT1G30210	AT3G47620	0.501403775997675
AT2G45190	AT4G27330	0.50113226016579
AT4G35550	AT5G02840	0.501064768522586
AT1G48000	AT3G17609	0.500084130635673
